code;libelle;niveau;code_parent;code_famille;libelle_famille;section;categorie_principale;categorie_metier;profil_formulaire;ordre_affichage
234.009;Citerne d’eau (en bois, en fer, etc.);ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234009
234.011;Embarcadère;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234011
234.012;Echangeur;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234012
234.013;Incinérateur;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234013
234.014;Monument;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234014
234.015;Parc de vaccination (animaux);ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234015
234.016;Pont;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234016
234.017;Port;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234017
234.018;Poste de dépotage;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234018
234.019;Poste de péage;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234019
234.020;Rond-point;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234020
234.021;Silos de stockage de céréales et autres produits;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234021
234.022;Soute;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234022
234.999;Autres ouvrages;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234999
235.001;Route bitumée;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235001
235.002;Piste;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235002
235.003;Adduction d’eau potable;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235003
235.004;Réseaux téléphoniques et médias;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235004
235.005;Réseaux d’assainissement;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235005
235.006;Marché;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235006
235.007;Gare routière;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235007
235.008;Gare ferroviaire;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235008
235.009;Centre cultuel;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235009
235.010;Centre artisanal;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235010
235.011;Stade;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235011
235.012;Terrain ou plateau de sport;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235012
235.013;Piscine communale;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235013
235.014;Centre de loisirs;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235014
235.999;Autres infrastructures;ARTICLE;235;235;INFRASTRUCTURES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;235999
236.001;Réseau du système d’information de la gestion financière et comptable des collectivités territoriales;ARTICLE;236;236;RESEAUX INFORMATIQUES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;236001
236.002;Réseau du système d’information de la comptabilité des matières;ARTICLE;236;236;RESEAUX INFORMATIQUES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;236002
236.999;Autres réseaux informatiques;ARTICLE;236;236;RESEAUX INFORMATIQUES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;236999
237.001;Réseau électrique;ARTICLE;237;237;RESEAUX D'ELECTRIFICATION;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;237001
237.999;Autres réseaux d’électrification;ARTICLE;237;237;RESEAUX D'ELECTRIFICATION;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;237999
